"sample_index","converged","steps_to_converge","dt_initial","dt_mean","eig0_oscillation_count","neg_vib_oscillation_count","neg_vib_initial","neg_vib_max","mode_overlap_mean","low_overlap_count"
"72","true","4213","0.001","0.0017928343187977337","0","331","9","10","0.9975343882333881","28"
"73","true","3280","0.001","0.0015992061318897638","0","271","12","13","0.9975835136106679","19"
"74","true","478","0.001","0.0032297532385149575","0","37","13","14","0.997693617806803","2"
"75","false","15000","0.001","0.002323157392959777","0","1224","11","11","0.9998014540870984","10"
"76","true","6795","0.001","0.0026559159026802235","0","744","8","9","0.9922724645343803","150"
"77","true","518","0.001","0.0029165523825082306","0","51","14","14","0.9919695225983916","14"
"78","true","290","0.001","0.004909612440668628","0","40","13","13","0.9984188436232891","1"
"79","true","421","0.001","0.0018617801501820388","0","32","11","12","0.9879054845944135","10"
"80","true","3356","0.001","0.004678994461022091","0","300","15","15","0.9931289211497053","72"
"81","true","2211","0.0006167015343418971","0.0033555826633329547","0","182","13","13","0.9891118622312548","72"
"82","true","409","0.001","0.002763774448072139","0","27","13","13","0.9972114352191367","3"
"83","true","8939","0.001","0.0022675280611840526","0","863","10","10","0.9982610364369549","35"
"84","true","8764","0.001","0.0026328788972924777","0","710","11","11","0.9985078648426844","31"
"85","true","2299","0.00026933141171957503","0.003614870070290521","0","140","15","15","0.9990326864823051","3"
"86","true","1230","0.001","0.003556033031249533","0","86","13","13","0.9947516745808258","22"
"87","true","1051","0.001","0.004355671715775486","0","125","14","14","0.9997735683568983","0"
"88","true","765","0.0007815579117779359","0.0038017404045265378","0","61","15","15","0.9949675037795508","9"
"89","false","15000","0.001","0.003053755874795361","0","698","11","11","0.9991238842805227","40"
"90","true","1123","0.001","0.0032055232453705182","0","65","15","15","0.9973540505480512","9"
"91","true","451","0.001","0.00283140356562919","0","37","12","12","0.9980494587031086","2"
"92","true","2617","0.00007614648985404316","0.0037059684611428596","0","239","15","15","0.9974071729083022","25"
"93","true","7267","0.001","0.0013288017529401283","0","1474","12","12","0.9994760862601348","14"
"94","true","763","0.001","0.0032844654956608816","0","41","11","12","0.9989411391668919","1"
"95","true","301","0.001","0.0012868681740614337","0","25","14","14","0.9967945334162341","1"
"96","true","3892","0.001","0.001604534131591274","0","360","13","13","0.9988565249887678","13"
"97","true","1696","0.001","0.0036517195993508384","0","127","13","13","0.997351759415763","12"
"98","true","878","0.001","0.003495604254427429","0","78","10","10","0.9921032848754162","25"
"99","false","15000","0.001","0.0002070070341812553","2","71","10","12","0.999622434888718","14"
